cluster_name	safe_cluster_id	representative_id	ko	trusted_hit	score	evalue	threshold	kofamscan_definition	ko_definition	module_ids	module_names	pathway_ids	pathway_names	brite_A_id	brite_A_name	brite_B_id	brite_B_name	brite_C_id	brite_C_name	brite_ko_entry	pfam_target_name	pfam_accession	pfam_full_evalue	pfam_full_score	pfam_domain_i_evalue	pfam_domain_score	pfam_description	HAY1-4A	KNZ1-1G	KNZ1-1H	KNZ1-4G	KNZ1-6H	KNZ1-9H	KNZ12-10F	KNZ12-12B	KNZ12-1A	KNZ12-1B	KNZ12-6F	KNZ12-7H	KNZ13-10G	KNZ13-1A	KNZ13-6D	KNZ14-11B	KNZ14-9G	KNZ2-12A	KNZ2-1B	KNZ2-1C	KNZ2-3D	KNZ2-4C	KNZ2-5A	KNZ2-5C	KNZ2-5D	KNZ2-6B	KNZ2-6D	KNZ2-7A	KNZ2-8B	KNZ2-8D	KNZ2-9B	SVR3-12F	SVR3-5F	SVR3-6C	SVR3-7D	SVR3-7F	SVR3-8D	SVR3-8G	SVR3-9D	SVR3-9F	SVR3-9G	SVR3-9H	SVR4-10G	SVR4-12F	SVR4-1A	SVR4-1E	SVR4-7E	SVR4-9A	SVR4-9G	SVR5-10A	SVR5-11B	SVR5-12D	SVR5-12G	SVR5-1A	SVR5-1B	SVR5-1H	SVR5-2B	SVR5-3A	SVR5-3C	SVR5-3E	SVR5-4F	SVR5-5G	SVR5-9B	SVR6-10C	SVR6-10D	SVR6-11A	SVR6-11D	SVR6-7A	SVR6-8A	SVR6-9D	TLI6-10H	TLI6-11F	TLI6-1G	TLI6-3F	TLI6-4A	TLI6-5F	TLI6-5H	TLI6-8H	TLI6-IE	TLI7-5F	TLI7-6A	TLI7-7B	TLI7-7G	TLI8-10B	TLI8-4H	TLI8-6C	TLI8-7A	TLI8-8A	TLI8-8F	TLI8-9D	TLI8-9H	TLI9-11B	TLI9-11C	TLI9-12B	TLI9-1C	TLI9-3A
gppA	cluster_000477	HAY14A_03245	K01524	yes	265.3	1.00E-78	155.93	"exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]"	"ppx-gppA; exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]"			map00230; ko00230; map01100; ko01100	map00230: Purine metabolism; ko00230; map01100: Metabolic pathways; ko01100	9100	Metabolism	9104	Nucleotide metabolism	ko00230	Purine metabolism	"ppx-gppA; exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]"	Ppx-GppA	PF02541.23	7.70E-60	203.3	1.20E-59	202.7	Ppx/GppA phosphatase family	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
aF2118	cluster_000465	HAY14A_13140	K01697	yes	527.7	2.90E-158	437.4	cystathionine beta-synthase [EC:4.2.1.22]	CBS; cystathionine beta-synthase [EC:4.2.1.22]	M00035; M00338	"M00035: Methionine degradation; M00338: Cysteine biosynthesis, homocysteine + serine => cysteine"	map00260; ko00260; map00270; ko00270; map00670; ko00670; map01100; ko01100; map01110; ko01110; map01230; ko01230	"map00260: Glycine, serine and threonine metabolism; ko00260; map00270: Cysteine and methionine metabolism; ko00270; map00670: One carbon pool by folate; ko00670; map01100: Metabolic pathways; ko01100; map01110: Biosynthesis of secondary metabolites; ko01110; map01230: Biosynthesis of amino acids; ko01230"	9100	Metabolism	9108	Metabolism of cofactors and vitamins	ko00670	One carbon pool by folate	CBS; cystathionine beta-synthase [EC:4.2.1.22]	PALP	PF00291.32	2.10E-75	254.4	2.60E-75	254.1	Pyridoxal-phosphate dependent enzyme	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pyk	cluster_000063	HAY14A_13210	K00873	yes	552.5	8.10E-166	55.53	pyruvate kinase [EC:2.7.1.40]	"PK, pyk; pyruvate kinase [EC:2.7.1.40]"	M00001; M00002	"M00001: Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate; M00002: Glycolysis, core module involving three-carbon compounds"	map00010; ko00010; map00620; ko00620; map01100; ko01100; map01110; ko01110; map01120; ko01120; map01200; ko01200; map01230; ko01230; map04922; ko04922; map04930; ko04930; map05165; ko05165; map05203; ko05203; map05230; ko05230	map00010: Glycolysis / Gluconeogenesis; ko00010; map00620: Pyruvate metabolism; ko00620; map01100: Metabolic pathways; ko01100; map01110: Biosynthesis of secondary metabolites; ko01110; map01120: Microbial metabolism in diverse environments; ko01120; map01200: Carbon metabolism; ko01200; map01230: Biosynthesis of amino acids; ko01230; map04922: Glucagon signaling pathway; ko04922; map04930: Type II diabetes mellitus; ko04930; map05165: Human papillomavirus infection; ko05165; map05203: Viral carcinogenesis; ko05203; map05230: Central carbon metabolism in cancer; ko05230	9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	4147	Exosome [BR:ko04147]	"PK, pyk; pyruvate kinase [EC:2.7.1.40]"	PK	PF00224.28	3.60E-110	368.7	4.40E-110	368.4	"Pyruvate kinase, barrel domain"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pdhA	cluster_000273	KNZ11G_05050	K00166	yes	381.8	5.80E-114	381.37	2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4]	"BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4]"	M00036	"M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA"	map00280; ko00280; map00640; ko00640; map00785; ko00785; map01100; ko01100; map01110; ko01110; map01210; ko01210	"map00280: Valine, leucine and isoleucine degradation; ko00280; map00640: Propanoate metabolism; ko00640; map00785: Lipoic acid metabolism; ko00785; map01100: Metabolic pathways; ko01100; map01110: Biosynthesis of secondary metabolites; ko01110; map01210: 2-Oxocarboxylic acid metabolism; ko01210"	9100	Metabolism	9108	Metabolism of cofactors and vitamins	ko00785	Lipoic acid metabolism	"BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4]"	E1_dh	PF00676.26	2.00E-73	247.6	2.50E-73	247.3	Dehydrogenase E1 component	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
purF	cluster_000004	HAY14A_03265	K00764	yes	637.9	1.30E-191	177.73	amidophosphoribosyltransferase [EC:2.4.2.14]	"purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]"	M00048	"M00048: De novo purine biosynthesis, PRPP + glutamine => IMP"	map00230; ko00230; map00250; ko00250; map01100; ko01100; map01110; ko01110	"map00230: Purine metabolism; ko00230; map00250: Alanine, aspartate and glutamate metabolism; ko00250; map01100: Metabolic pathways; ko01100; map01110: Biosynthesis of secondary metabolites; ko01110"	9180	Brite Hierarchies	9181	Protein families: metabolism	1002	Peptidases and inhibitors [BR:ko01002]	"purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]"	GATase_6	PF13522.12	2.40E-14	54	6.30E-14	52.7	Glutamine amidotransferase domain	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
carB	cluster_000236	HAY14A_14230	K01955	yes	1770.9	0	1465.33	carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	"carB, CPA2; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]"	M00051; M00978	"M00051: De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP; M00978: Ornithine-ammonia cycle"	map00220; ko00220; map00240; ko00240; map00250; ko00250; map01100; ko01100; map01110; ko01110; map01240; ko01240	"map00220: Arginine biosynthesis; ko00220; map00240: Pyrimidine metabolism; ko00240; map00250: Alanine, aspartate and glutamate metabolism; ko00250; map01100: Metabolic pathways; ko01100; map01110: Biosynthesis of secondary metabolites; ko01110; map01240: Biosynthesis of cofactors; ko01240"	9100	Metabolism	9105	Amino acid metabolism	ko00220	Arginine biosynthesis	"carB, CPA2; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]"	CPSase_L_D2	PF02786.23	3.80E-112	373.5	3.20E-71	239.8	"Carbamoyl-phosphate synthase L chain, ATP binding domain"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dnaK	cluster_000036	HAY14A_14265	K04043	yes	905.7	1.70E-272	783.47	molecular chaperone DnaK	"dnaK, HSPA9; molecular chaperone DnaK"			map03018; ko03018; map04212; ko04212; map05152; ko05152	map03018: RNA degradation; ko03018; map04212: Longevity regulating pathway - worm; ko04212; map05152: Tuberculosis; ko05152	9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	4147	Exosome [BR:ko04147]	"dnaK, HSPA9; molecular chaperone DnaK"	HSP70	PF00012.27	2.70E-266	885.2	3.00E-266	885	Hsp70 protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_1037	cluster_000079	HAY14A_14285	K20264	yes	243.7	8.80E-73	242.6	"two-component system, NarL family, response regulator FusR"	"fusR; two-component system, NarL family, response regulator FusR"			map02020; ko02020; map02024; ko02024	map02020: Two-component system; ko02020; map02024: Quorum sensing; ko02024	9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2022	Two-component system [BR:ko02022]	"fusR; two-component system, NarL family, response regulator FusR"	Response_reg	PF00072.31	1.10E-27	97	1.40E-27	96.7	Response regulator receiver domain	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
hflC	cluster_000234	HAY14A_03290	K04087	yes	393.6	6.30E-118	172.7	modulator of FtsH protease HflC	hflC; modulator of FtsH protease HflC					9180	Brite Hierarchies	9181	Protein families: metabolism	1002	Peptidases and inhibitors [BR:ko01002]	hflC; modulator of FtsH protease HflC	Band_7	PF01145.32	1.50E-25	90.8	1.90E-25	90.4	SPFH domain / Band 7 family	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
frmA	cluster_000496	HAY14A_14640	K00121	yes	706.7	1.50E-212	637.03	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	"frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]"			map00010; ko00010; map00071; ko00071; map00350; ko00350; map00620; ko00620; map00625; ko00625; map00626; ko00626; map00680; ko00680; map00830; ko00830; map00980; ko00980; map00982; ko00982; map01100; ko01100; map01110; ko01110; map01120; ko01120; map01200; ko01200; map01220; ko01220; map04936; ko04936	map00010: Glycolysis / Gluconeogenesis; ko00010; map00071: Fatty acid degradation; ko00071; map00350: Tyrosine metabolism; ko00350; map00620: Pyruvate metabolism; ko00620; map00625: Chloroalkane and chloroalkene degradation; ko00625; map00626: Naphthalene degradation; ko00626; map00680: Methane metabolism; ko00680; map00830: Retinol metabolism; ko00830; map00980: Metabolism of xenobiotics by cytochrome P450; ko00980; map00982: Drug metabolism - cytochrome P450; ko00982; map01100: Metabolic pathways; ko01100; map01110: Biosynthesis of secondary metabolites; ko01110; map01120: Microbial metabolism in diverse environments; ko01120; map01200: Carbon metabolism; ko01200; map01220: Degradation of aromatic compounds; ko01220; map04936: Alcoholic liver disease; ko04936	9160	Human Diseases	9167	Endocrine and metabolic disease	ko04936	Alcoholic liver disease	"frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]"	ADH_N	PF08240.18	5.80E-26	91.4	2.10E-25	89.6	Alcohol dehydrogenase GroES-like domain	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
